Author,Title,section,link to pdf,DarAlNasher,NumberOfPages,book_size
الكاتب محمود سالم,كتاب لغز القصر الاخضر ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%82%d8%b5%d8%b1-%d8%a7%d9%84%d8%a7%d8%ae%d8%b6%d8%b1-pdf/, مؤسسة هنداوي, 44 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز القفاز الاحمر ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%82%d9%81%d8%a7%d8%b2-%d8%a7%d9%84%d8%a7%d8%ad%d9%85%d8%b1-pdf/, مؤسسة هنداوي, 50 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز القبر الملكي ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%82%d8%a8%d8%b1-%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a-pdf-3/, مؤسسة هنداوي, 52 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز الكوخ المحترق ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%83%d9%88%d8%ae-%d8%a7%d9%84%d9%85%d8%ad%d8%aa%d8%b1%d9%82-pdf-2/, مؤسسة هنداوي, 56 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز اللص الشبح ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%84%d8%b5-%d8%a7%d9%84%d8%b4%d8%a8%d8%ad-pdf-2/, مؤسسة هنداوي, 48 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز المدينة العائمة ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d8%a6%d9%85%d8%a9-pdf-2/, مؤسسة هنداوي, 54 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز المنزل رقم 98 ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d9%86%d8%b2%d9%84-%d8%b1%d9%82%d9%85-98-pdf-2/, مؤسسة هنداوي, 48 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز الموسيقار الصغير ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%85%d9%88%d8%b3%d9%8a%d9%82%d8%a7%d8%b1-%d8%a7%d9%84%d8%b5%d8%ba%d9%8a%d8%b1-pdf-2/, مؤسسة هنداوي, 54 صفحة, 2 ميغابايت
الكاتب محمود سالم,كتاب لغز الوثائق السرية ,روايات بوليسية ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%a7%d9%84%d9%88%d8%ab%d8%a7%d8%a6%d9%82-%d8%a7%d9%84%d8%b3%d8%b1%d9%8a%d8%a9-pdf-2/, مؤسسة هنداوي, 50 صفحة, 2 ميغابايت
الكاتب هارون يحيىالكاتب هارون يحيى,كتاب التضحية عند الحيوان ,كتب الأدب ,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%aa%d8%b6%d8%ad%d9%8a%d8%a9-%d8%b9%d9%86%d8%af-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86-pdf/, عدنان أوكطار, 160 صفحة, 5 ميغابايت
